Res, 2, 384, 7.0621093750
Res, 2, 1152, 7.0700086806
Res, 2, 10240, 7.0893945312
Res, 2, 15360, 7.1118424479
Res, 2, 40960, 7.1379296875
Res, 2, 81920, 7.1471752930
Res, 2, 163840, 7.1469293213
Res, 8, 384, 9.4609375000
Res, 8, 1152, 7.0869791667
Res, 8, 10240, 7.1475390625
Res, 8, 15360, 7.1958854167
Res, 8, 40960, 7.2547607422
Res, 8, 81920, 7.2707666016
Res, 8, 163840, 7.2406408691
Res, 16, 384, 7.0197916667
Res, 16, 1152, 7.0793402778
Res, 16, 10240, 7.2706054688
Res, 16, 15360, 7.5570182292
Res, 16, 40960, 7.2891113281
Res, 16, 81920, 7.2798193359
Res, 16, 163840, 8.3473437500
Res, 32, 384, 7.0713541667
Res, 32, 1152, 7.1531250000
Res, 32, 10240, 7.8366992187
Res, 32, 15360, 7.8461848958
Res, 32, 40960, 8.0368603516
Res, 32, 81920, 8.1416186523
Res, 32, 163840, 13.9478955078
Res, 256, 384, 7.2416666667
Res, 256, 1152, 7.6267361111
Res, 256, 10240, 9.2787500000
Res, 256, 15360, 12.2352083333
Res, 256, 40960, 14.7251025391
Res, 256, 81920, 15.5349755859
Res, 256, 163840, 15.8793334961
Res, 2, 384, 7.0496093750
Res, 2, 1152, 7.1010850694
Res, 2, 10240, 7.1049609375
Res, 2, 15360, 7.1176204427
Res, 2, 40960, 7.2204541016
Res, 2, 81920, 7.1469500732
Res, 2, 163840, 7.1462835693
Res, 8, 384, 7.0156250000
Res, 8, 1152, 7.1095486111
Res, 8, 10240, 7.1649023437
Res, 8, 15360, 7.1783854167
Res, 8, 40960, 7.3931445312
Res, 8, 81920, 7.2411596680
Res, 8, 163840, 7.2630908203
Res, 16, 384, 7.0166666667
Res, 16, 1152, 7.1529513889
Res, 16, 10240, 7.2560546875
Res, 16, 15360, 7.5003906250
Res, 16, 40960, 7.5213574219
Res, 16, 81920, 7.2536547852
Res, 16, 163840, 8.5486584473
Res, 32, 384, 7.0651041667
Res, 32, 1152, 7.1265625000
Res, 32, 10240, 7.4217773437
Res, 32, 15360, 7.8566796875
Res, 32, 40960, 8.4248242188
Res, 32, 81920, 8.0154174805
Res, 32, 163840, 14.1199865723
Res, 256, 384, 7.1489583333
Res, 256, 1152, 7.5789930556
Res, 256, 10240, 9.0706250000
Res, 256, 15360, 12.4010286458
Res, 256, 40960, 14.5811767578
Res, 256, 81920, 15.8081689453
Res, 256, 163840, 16.1358166504
Res, 2, 384, 7.0492187500
Res, 2, 1152, 7.0698784722
Res, 2, 10240, 7.0991308594
Res, 2, 15360, 7.1061621094
Res, 2, 40960, 7.1558288574
Res, 2, 81920, 7.1401977539
Res, 2, 163840, 7.1512716675
Res, 8, 384, 6.9963541667
Res, 8, 1152, 7.0946180556
Res, 8, 10240, 7.1062500000
Res, 8, 15360, 7.1789192708
Res, 8, 40960, 7.2436621094
Res, 8, 81920, 7.3554931641
Res, 8, 163840, 7.2469030762
Res, 16, 384, 6.9822916667
Res, 16, 1152, 7.0887152778
Res, 16, 10240, 7.4294726562
Res, 16, 15360, 7.4865234375
Res, 16, 40960, 7.2703710937
Res, 16, 81920, 7.2757812500
Res, 16, 163840, 8.9629602051
Res, 32, 384, 7.0348958333
Res, 32, 1152, 7.6862847222
Res, 32, 10240, 7.6620507812
Res, 32, 15360, 7.3891927083
Res, 32, 40960, 7.4920263672
Res, 32, 81920, 7.7522631836
Res, 32, 163840, 14.1895593262
Res, 256, 384, 7.2942708333
Res, 256, 1152, 7.7977430556
Res, 256, 10240, 9.1588476562
Res, 256, 15360, 12.6310937500
Res, 256, 40960, 14.6663574219
Res, 256, 81920, 15.6778564453
Res, 256, 163840, 15.8711389160
Res, 2, 384, 7.0505208333
Res, 2, 1152, 7.0719184028
Res, 2, 10240, 7.0864013672
Res, 2, 15360, 7.1061490885
Res, 2, 40960, 7.1476196289
Res, 2, 81920, 7.1507012939
Res, 2, 163840, 7.1485806274
Res, 8, 384, 7.0072916667
Res, 8, 1152, 7.1154513889
Res, 8, 10240, 7.1049804688
Res, 8, 15360, 7.2126171875
Res, 8, 40960, 7.2807275391
Res, 8, 81920, 7.2724169922
Res, 8, 163840, 7.2589147949
Res, 16, 384, 6.9932291667
Res, 16, 1152, 7.1194444444
Res, 16, 10240, 7.2272265625
Res, 16, 15360, 7.7846223958
Res, 16, 40960, 7.2311474609
Res, 16, 81920, 7.2602587891
Res, 16, 163840, 8.3992395020
Res, 32, 384, 7.0598958333
Res, 32, 1152, 7.1505208333
Res, 32, 10240, 7.6289648438
Res, 32, 15360, 7.3082291667
Res, 32, 40960, 7.3640332031
Res, 32, 81920, 7.8695166016
Res, 32, 163840, 14.1834020996
Res, 256, 384, 7.2343750000
Res, 256, 1152, 7.7868055556
Res, 256, 10240, 10.4635546875
Res, 256, 15360, 12.3917187500
Res, 256, 40960, 14.4283007812
Res, 256, 81920, 15.6478540039
Res, 256, 163840, 16.4808435059
Res, 2, 384, 7.0484375000
Res, 2, 1152, 7.0713107639
Res, 2, 10240, 7.0868066406
Res, 2, 15360, 7.0925195312
Res, 2, 40960, 7.1449523926
Res, 2, 81920, 7.1548834229
Res, 2, 163840, 7.1516595459
Res, 8, 384, 6.9942708333
Res, 8, 1152, 7.1175347222
Res, 8, 10240, 7.1688476562
Res, 8, 15360, 7.1316276042
Res, 8, 40960, 7.2547021484
Res, 8, 81920, 7.2889892578
Res, 8, 163840, 7.2491174316
Res, 16, 384, 7.0031250000
Res, 16, 1152, 7.0923611111
Res, 16, 10240, 7.2111328125
Res, 16, 15360, 7.2805859375
Res, 16, 40960, 7.3868847656
Res, 16, 81920, 7.2408593750
Res, 16, 163840, 8.6028820801
Res, 32, 384, 7.1083333333
Res, 32, 1152, 7.1121527778
Res, 32, 10240, 7.7001367187
Res, 32, 15360, 7.5074609375
Res, 32, 40960, 7.4334960937
Res, 32, 81920, 8.1293066406
Res, 32, 163840, 14.1716125488
Res, 256, 384, 7.1682291667
Res, 256, 1152, 7.7086805556
Res, 256, 10240, 8.7848632813
Res, 256, 15360, 12.3598177083
Res, 256, 40960, 14.7203417969
Res, 256, 81920, 15.5829199219
Res, 256, 163840, 15.7652294922
Res, 2, 384, 7.0498697917
Res, 2, 1152, 7.2754774306
Res, 2, 10240, 7.0861767578
Res, 2, 15360, 7.1251920573
Res, 2, 40960, 7.1454931641
Res, 2, 81920, 7.1518634033
Res, 2, 163840, 7.1384963989
Res, 8, 384, 6.9901041667
Res, 8, 1152, 7.1407986111
Res, 8, 10240, 7.1700585938
Res, 8, 15360, 7.1454036458
Res, 8, 40960, 7.2637011719
Res, 8, 81920, 7.2521386719
Res, 8, 163840, 7.2346032715
Res, 16, 384, 6.9932291667
Res, 16, 1152, 7.1192708333
Res, 16, 10240, 7.2479101562
Res, 16, 15360, 7.3431380208
Res, 16, 40960, 7.7109130859
Res, 16, 81920, 7.3277905273
Res, 16, 163840, 8.6320654297
Res, 32, 384, 7.0625000000
Res, 32, 1152, 7.5388888889
Res, 32, 10240, 7.5591796875
Res, 32, 15360, 7.3861458333
Res, 32, 40960, 7.5116699219
Res, 32, 81920, 8.1340112305
Res, 32, 163840, 14.1810424805
Res, 256, 384, 7.2718750000
Res, 256, 1152, 8.1322916667
Res, 256, 10240, 9.3181835937
Res, 256, 15360, 12.3725781250
Res, 256, 40960, 14.9584716797
Res, 256, 81920, 15.5185107422
Res, 256, 163840, 16.0884423828
Res, 2, 384, 7.1239583333
Res, 2, 1152, 7.0711371528
Res, 2, 10240, 7.1012207031
Res, 2, 15360, 7.1086686198
Res, 2, 40960, 7.1479406738
Res, 2, 81920, 7.1541058350
Res, 2, 163840, 7.1454928589
Res, 8, 384, 6.9901041667
Res, 8, 1152, 7.1680555556
Res, 8, 10240, 7.1341015625
Res, 8, 15360, 7.1455338542
Res, 8, 40960, 7.2940771484
Res, 8, 81920, 7.2580957031
Res, 8, 163840, 7.2444763184
Res, 16, 384, 9.2052083333
Res, 16, 1152, 7.1178819444
Res, 16, 10240, 7.2430664062
Res, 16, 15360, 7.2121223958
Res, 16, 40960, 7.3056884766
Res, 16, 81920, 7.4762280273
Res, 16, 163840, 8.5883447266
Res, 32, 384, 7.0635416667
Res, 32, 1152, 7.1519097222
Res, 32, 10240, 7.3954296875
Res, 32, 15360, 7.3616276042
Res, 32, 40960, 7.6029394531
Res, 32, 81920, 8.1334252930
Res, 32, 163840, 14.1617578125
Res, 256, 384, 7.0953125000
Res, 256, 1152, 8.8881944444
Res, 256, 10240, 9.4444140625
Res, 256, 15360, 12.1733333333
Res, 256, 40960, 14.8021337891
Res, 256, 81920, 15.3919238281
Res, 256, 163840, 15.9860400391
Res, 2, 384, 7.0523437500
Res, 2, 1152, 7.0694878472
Res, 2, 10240, 7.0899658203
Res, 2, 15360, 7.1083691406
Res, 2, 40960, 7.1506713867
Res, 2, 81920, 7.1393188477
Res, 2, 163840, 7.1501757812
Res, 8, 384, 6.9770833333
Res, 8, 1152, 7.0843750000
Res, 8, 10240, 7.1573242188
Res, 8, 15360, 7.1422916667
Res, 8, 40960, 7.2450830078
Res, 8, 81920, 7.2450415039
Res, 8, 163840, 7.2522009277
Res, 16, 384, 7.0187500000
Res, 16, 1152, 7.1201388889
Res, 16, 10240, 7.2062304688
Res, 16, 15360, 7.2852213542
Res, 16, 40960, 7.2044189453
Res, 16, 81920, 7.2859960937
Res, 16, 163840, 8.6277136230
Res, 32, 384, 7.0812500000
Res, 32, 1152, 7.1147569444
Res, 32, 10240, 7.5425781250
Res, 32, 15360, 7.3082031250
Res, 32, 40960, 8.4199316406
Res, 32, 81920, 8.2126367187
Res, 32, 163840, 14.1215075684
Res, 256, 384, 7.2312500000
Res, 256, 1152, 7.4581597222
Res, 256, 10240, 9.3936718750
Res, 256, 15360, 12.4491536458
Res, 256, 40960, 14.6499414063
Res, 256, 81920, 15.5317260742
Res, 256, 163840, 16.2335449219
Res, 2, 384, 7.0548177083
Res, 2, 1152, 7.0683159722
Res, 2, 10240, 7.0894238281
Res, 2, 15360, 7.0987174479
Res, 2, 40960, 7.1559387207
Res, 2, 81920, 7.1485272217
Res, 2, 163840, 7.1446029663
Res, 8, 384, 7.0208333333
Res, 8, 1152, 7.1404513889
Res, 8, 10240, 7.1158593750
Res, 8, 15360, 7.1791276042
Res, 8, 40960, 7.3362890625
Res, 8, 81920, 7.3878002930
Res, 8, 163840, 7.2573706055
Res, 16, 384, 7.0015625000
Res, 16, 1152, 7.0762152778
