N, ck
250, 4497832.00
500, 17851824.00
750, 39134110.00
1000, 68313352.00
1500, 152475042.00
2000, 273637240.00
2550, 445715552.00
3000, 617222184.00
250, 4510670.00
500, 17932782.00
750, 39205044.00
1000, 68305740.00
1500, 153452600.00
2000, 272520572.00
2550, 444802686.00
3000, 617566956.00
250, 4491104.00
500, 17888502.00
750, 39125804.00
1000, 68385274.00
1500, 153407270.00
2000, 273633812.00
2550, 445380832.00
3000, 617032432.00
250, 4482404.00
500, 17915428.00
750, 39250966.00
1000, 69538932.00
1500, 153848320.00
2000, 273476240.00
2550, 445133484.00
3000, 616034996.00
250, 4484848.00
500, 17869584.00
750, 39147664.00
1000, 68230982.00
1500, 152554886.00
2000, 273621032.00
2550, 446448228.00
3000, 617327298.00
250, 4492952.00
500, 17882620.00
750, 38089952.00
1000, 69386130.00
1500, 153620280.00
2000, 274096352.00
2550, 446376018.00
3000, 615780566.00
250, 4486366.00
500, 17892900.00
750, 39122544.00
1000, 68318922.00
1500, 153570672.00
2000, 273862498.00
2550, 445123392.00
3000, 616051586.00
250, 4521036.00
500, 17887702.00
750, 39169620.00
1000, 68342218.00
1500, 153394536.00
2000, 272391736.00
2550, 446329576.00
3000, 616043914.00
250, 4504102.00
500, 17886158.00
750, 38118244.00
1000, 69426646.00
1500, 153342166.00
2000, 273542526.00
2550, 445266970.00
3000, 616974834.00
250, 4492970.00
500, 17924842.00
750, 39208326.00
1000, 68361534.00
1500, 152359750.00
2000, 273734392.00
2550, 445227890.00
3000, 617184486.00
