N, ck
250, 615578.00
500, 2682240.00
750, 4746204.00
1000, 6973640.00
1500, 14508938.00
2000, 28938384.00
2550, 49159448.00
3000, 67226304.00
250, 622356.00
500, 2686356.00
750, 4800736.00
1000, 7071818.00
1500, 15771572.00
2000, 28885444.00
2550, 48908160.00
3000, 67205374.00
250, 648366.00
500, 2676504.00
750, 4952224.00
1000, 6989738.00
1500, 15587206.00
2000, 28718014.00
2550, 47836358.00
3000, 67603998.00
250, 628196.00
500, 2714700.00
750, 3629594.00
1000, 7150364.00
1500, 14717702.00
2000, 28509300.00
2550, 47637830.00
3000, 65461842.00
250, 636118.00
500, 2692400.00
750, 4744456.00
1000, 6972332.00
1500, 15655480.00
2000, 28817014.00
2550, 47595588.00
3000, 67444136.00
250, 624868.00
500, 2697712.00
750, 4825046.00
1000, 8592436.00
1500, 15793288.00
2000, 27737532.00
2550, 47421640.00
3000, 66167308.00
250, 640954.00
500, 2707922.00
750, 4772860.00
1000, 6964076.00
1500, 15852738.00
2000, 28906286.00
2550, 47536680.00
3000, 67046356.00
250, 628700.00
500, 2704348.00
750, 4813156.00
1000, 6965046.00
1500, 14613572.00
2000, 28795478.00
2550, 47766190.00
3000, 67083898.00
250, 639774.00
500, 2664868.00
750, 4831628.00
1000, 7145180.00
1500, 15551828.00
2000, 28558570.00
2550, 47507626.00
3000, 67247564.00
250, 629080.00
500, 2708136.00
750, 4804890.00
1000, 7091184.00
1500, 14415042.00
2000, 27188102.00
2550, 47049958.00
3000, 67274656.00
