N, ck
250, 6898430.00
500, 27382740.00
750, 60975838.00
1000, 106294588.00
1500, 238559198.00
2000, 424539428.00
2550, 693888904.00
3000, 958474760.00
250, 6905298.00
500, 27398432.00
750, 61523436.00
1000, 107217128.00
1500, 237524254.00
2000, 425719370.00
2550, 692550092.00
3000, 959923650.00
250, 6910338.00
500, 27467388.00
750, 60556502.00
1000, 106296018.00
1500, 238497630.00
2000, 425023882.00
2550, 692919958.00
3000, 960221474.00
250, 6894458.00
500, 27409626.00
750, 61014692.00
1000, 106335518.00
1500, 237690230.00
2000, 426881332.00
2550, 693815538.00
3000, 960944156.00
250, 6906762.00
500, 27393254.00
750, 61741002.00
1000, 106961536.00
1500, 238432520.00
2000, 424636956.00
2550, 692983184.00
3000, 959008940.00
250, 6900180.00
500, 27402110.00
750, 60602918.00
1000, 106200650.00
1500, 238380738.00
2000, 426982002.00
2550, 693602246.00
3000, 958163390.00
250, 6892448.00
500, 27453518.00
750, 61519182.00
1000, 106179394.00
1500, 237469324.00
2000, 425692680.00
2550, 695132546.00
3000, 961737600.00
250, 6910312.00
500, 27439216.00
750, 60948856.00
1000, 106272676.00
1500, 238172924.00
2000, 425448382.00
2550, 693818186.00
3000, 960966432.00
250, 6901508.00
500, 27420230.00
750, 61570974.00
1000, 106221358.00
1500, 237266690.00
2000, 425404930.00
2550, 692492190.00
3000, 961591380.00
250, 6905628.00
500, 27443344.00
750, 61825538.00
1000, 107622236.00
1500, 237252534.00
2000, 425753268.00
2550, 693654202.00
3000, 963534510.00
