N, ck
250, 1448082.00
500, 4986698.00
750, 10497314.00
1000, 18173644.00
1500, 39274262.00
2000, 70385494.00
2550, 113980164.00
3000, 156146736.00
250, 1451494.00
500, 4997602.00
750, 10349174.00
1000, 18022458.00
1500, 38705310.00
2000, 70170738.00
2550, 113040818.00
3000, 156817700.00
250, 1433330.00
500, 4989702.00
750, 10509638.00
1000, 17725602.00
1500, 39349094.00
2000, 69742686.00
2550, 113642778.00
3000, 157325930.00
250, 1421394.00
500, 5025544.00
750, 10366954.00
1000, 17725032.00
1500, 39320796.00
2000, 70181232.00
2550, 113020050.00
3000, 156860420.00
250, 1437640.00
500, 4987764.00
750, 10327582.00
1000, 18136708.00
1500, 39215420.00
2000, 69898784.00
2550, 113084350.00
3000, 157511834.00
250, 1446590.00
500, 5002574.00
750, 10318090.00
1000, 17645414.00
1500, 39159340.00
2000, 69817070.00
2550, 113971596.00
3000, 156750764.00
250, 1432126.00
500, 4999076.00
750, 10323998.00
1000, 18214476.00
1500, 39460454.00
2000, 69789978.00
2550, 113572480.00
3000, 156647340.00
250, 1437534.00
500, 4984120.00
750, 10521292.00
1000, 17682258.00
1500, 39851008.00
2000, 69995016.00
2550, 113417076.00
3000, 157097670.00
250, 1455274.00
500, 4989938.00
750, 10735680.00
1000, 17782844.00
1500, 38987678.00
2000, 70016086.00
2550, 113804770.00
3000, 157255440.00
250, 1424830.00
500, 5011388.00
750, 10403112.00
1000, 17728584.00
1500, 38915764.00
2000, 69995210.00
2550, 113036674.00
3000, 156699512.00
