N, ck
250, 1219022.00
500, 5066332.00
750, 10140816.00
1000, 16489924.00
1500, 36164940.00
2000, 64967800.00
2550, 109346468.00
3000, 151357224.00
250, 1221928.00
500, 5081704.00
750, 10119316.00
1000, 17934860.00
1500, 35694406.00
2000, 66312966.00
2550, 108229426.00
3000, 151846678.00
250, 1224002.00
500, 5098386.00
750, 8985538.00
1000, 16629298.00
1500, 37305988.00
2000, 65018586.00
2550, 108706654.00
3000, 150130720.00
250, 1229526.00
500, 5091128.00
750, 10301920.00
1000, 17986210.00
1500, 36596838.00
2000, 64819646.00
2550, 108622660.00
3000, 151115494.00
250, 1237202.00
500, 5080128.00
750, 10099652.00
1000, 16486154.00
1500, 36180754.00
2000, 66211814.00
2550, 108193998.00
3000, 151258326.00
250, 1222652.00
500, 5104728.00
750, 9114500.00
1000, 16488568.00
1500, 35879044.00
2000, 66503954.00
2550, 108623724.00
3000, 149698988.00
250, 1240846.00
500, 5111734.00
750, 10131158.00
1000, 16583298.00
1500, 35759808.00
2000, 65014256.00
2550, 108309940.00
3000, 151288226.00
250, 1242536.00
500, 5071786.00
750, 10249444.00
1000, 16682016.00
1500, 36908958.00
2000, 66590918.00
2550, 109970944.00
3000, 150353896.00
250, 1230790.00
500, 5062846.00
750, 9149966.00
1000, 18054798.00
1500, 36970896.00
2000, 66050504.00
2550, 108553686.00
3000, 149831234.00
250, 1247446.00
500, 5087892.00
750, 10191916.00
1000, 16488518.00
1500, 35778940.00
2000, 65958240.00
2550, 109020130.00
3000, 151226720.00
