250, 1437180.00
500, 5013618.00
750, 9996698.00
1000, 17892646.00
1500, 38933368.00
2000, 69569880.00
2550, 113332864.00
3000, 156891138.00
250, 1419102.00
500, 5022932.00
750, 10641184.00
1000, 17875414.00
1500, 39239306.00
2000, 70383800.00
2550, 113753228.00
3000, 156858678.00
250, 1435548.00
500, 5025756.00
750, 10033278.00
1000, 17822384.00
1500, 39110660.00
2000, 70215800.00
2550, 113321008.00
3000, 157576594.00
250, 1428280.00
500, 5002260.00
750, 10767524.00
1000, 17780390.00
1500, 39516254.00
2000, 70398660.00
2550, 113275816.00
3000, 156534704.00
250, 1438528.00
500, 5004870.00
750, 10602334.00
1000, 17761844.00
1500, 39686876.00
2000, 69978430.00
2550, 113712672.00
3000, 157112116.00
250, 1434876.00
500, 4981448.00
750, 10680064.00
1000, 17924870.00
1500, 39376174.00
2000, 69526058.00
2550, 113426464.00
3000, 156836946.00
250, 1428878.00
500, 5032454.00
750, 10367758.00
1000, 17815128.00
1500, 39604938.00
2000, 69980446.00
2550, 113036956.00
3000, 156380290.00
250, 1431500.00
500, 5035386.00
750, 10588760.00
1000, 17663552.00
1500, 39392698.00
2000, 70091090.00
2550, 112632740.00
3000, 157024994.00
250, 1434792.00
500, 5003738.00
750, 10603144.00
1000, 17963998.00
1500, 39026258.00
2000, 69655242.00
2550, 113006670.00
3000, 156245522.00
250, 1437206.00
500, 5037090.00
750, 10586142.00
1000, 18197186.00
1500, 38952984.00
2000, 69863514.00
2550, 113038258.00
3000, 157293348.00
