250, 3033420.00
500, 3366508.00
750, 77150578.00
1000, 5228986.00
1500, 6969468.00
2000, 9411860.00
2550, 12742918.00
3000, 16698400.00
250, 3171734.00
500, 3513288.00
750, 4241666.00
1000, 5161140.00
1500, 7470602.00
2000, 9904736.00
2550, 12558714.00
3000, 17060778.00
250, 3180232.00
500, 3711284.00
750, 4186780.00
1000, 49572604.00
1500, 7184834.00
2000, 9895692.00
2550, 12411228.00
3000, 16953728.00
250, 3168822.00
500, 3460154.00
750, 4451642.00
1000, 5036514.00
1500, 7054558.00
2000, 9377730.00
2550, 12403624.00
3000, 16916858.00
250, 3173726.00
500, 3392324.00
750, 4292042.00
1000, 5100740.00
1500, 6992634.00
2000, 10073790.00
2550, 12710962.00
3000, 16908094.00
250, 3486360.00
500, 3296158.00
750, 4593660.00
1000, 5142696.00
1500, 7236894.00
2000, 9895682.00
2550, 12782978.00
3000, 17355462.00
250, 3094466.00
500, 3482676.00
750, 4419208.00
1000, 5175216.00
1500, 7279176.00
2000, 9758940.00
2550, 12615998.00
3000, 17362698.00
250, 3135158.00
500, 3440640.00
750, 4477858.00
1000, 5111298.00
1500, 62066932.00
2000, 9858266.00
2550, 12393196.00
3000, 16817764.00
250, 3148682.00
500, 3338604.00
750, 4340964.00
1000, 4992040.00
1500, 7153586.00
2000, 9911882.00
2550, 12504410.00
3000, 16942944.00
250, 3284854.00
500, 3472988.00
750, 4381086.00
1000, 5203372.00
1500, 7025748.00
2000, 10111588.00
2550, 12532348.00
3000, 16482620.00
