250, 1032406.00
500, 3001752.00
750, 6110598.00
1000, 9620122.00
1500, 20431688.00
2000, 36720098.00
2550, 57929894.00
3000, 79580298.00
250, 1083696.00
500, 3038624.00
750, 5839118.00
1000, 9781270.00
1500, 20918406.00
2000, 36953988.00
2550, 58504076.00
3000, 80277380.00
250, 1033440.00
500, 3015268.00
750, 6284770.00
1000, 10040594.00
1500, 20509708.00
2000, 36897876.00
2550, 58458688.00
3000, 80002892.00
250, 1052494.00
500, 3041378.00
750, 6288630.00
1000, 10013760.00
1500, 21114344.00
2000, 36432544.00
2550, 58319842.00
3000, 80019078.00
250, 1032402.00
500, 3035648.00
750, 6330502.00
1000, 9690966.00
1500, 20731698.00
2000, 36701898.00
2550, 57855920.00
3000, 79909050.00
250, 1059626.00
500, 3019076.00
750, 6116954.00
1000, 9887718.00
1500, 20821300.00
2000, 36793340.00
2550, 57915604.00
3000, 79665942.00
250, 1051696.00
500, 3051994.00
750, 5835004.00
1000, 10008664.00
1500, 20730994.00
2000, 36545720.00
2550, 58425174.00
3000, 80726904.00
250, 1059948.00
500, 3022778.00
750, 5826342.00
1000, 10043306.00
1500, 20452860.00
2000, 36609244.00
2550, 57834232.00
3000, 80129348.00
250, 1090098.00
500, 3000392.00
750, 5815218.00
1000, 9865442.00
1500, 20984872.00
2000, 36613926.00
2550, 58787690.00
3000, 80567298.00
250, 1048748.00
500, 3029172.00
750, 6309678.00
1000, 10027790.00
1500, 20522288.00
2000, 36459456.00
2550, 58483842.00
3000, 80113848.00
