250, 56869842.00
500, 2327770.00
750, 4020272.00
1000, 4656060.00
1500, 7929348.00
2000, 12582906.00
2550, 18725626.00
3000, 24689432.00
250, 1657724.00
500, 2319140.00
750, 3578498.00
1000, 4612170.00
1500, 7748248.00
2000, 12426558.00
2550, 18603630.00
3000, 24568014.00
250, 1613474.00
500, 2355228.00
750, 3542530.00
1000, 4564200.00
1500, 8049538.00
2000, 12680556.00
2550, 18597206.00
3000, 24414332.00
250, 1910718.00
500, 2437546.00
750, 3642942.00
1000, 4835890.00
1500, 8067202.00
2000, 12594526.00
2550, 18548050.00
3000, 24261842.00
250, 1647054.00
500, 2348596.00
750, 3770132.00
1000, 5092596.00
1500, 8251016.00
2000, 12191304.00
2550, 19243750.00
3000, 24984326.00
250, 1644538.00
500, 2335718.00
750, 3454138.00
1000, 4476390.00
1500, 7774830.00
2000, 12364904.00
2550, 18789344.00
3000, 24338030.00
250, 1623354.00
500, 2411642.00
750, 2965114.00
1000, 4569840.00
1500, 8480218.00
2000, 12154242.00
2550, 18805870.00
3000, 24126490.00
250, 1638308.00
500, 2754494.00
750, 3764016.00
1000, 4597490.00
1500, 8087840.00
2000, 12181538.00
2550, 28436152.00
3000, 24643720.00
250, 1595058.00
500, 2340568.00
750, 3763842.00
1000, 4460980.00
1500, 8061806.00
2000, 12718022.00
2550, 18638016.00
3000, 24327002.00
250, 1633822.00
500, 2455332.00
750, 3940544.00
1000, 4511232.00
1500, 7919430.00
2000, 12388092.00
2550, 18951864.00
3000, 24723452.00
