Res, 2, 384, 6.1281250000
Res, 2, 1152, 6.1204427083
Res, 2, 10240, 6.1755761719
Res, 2, 15360, 6.2271647135
Res, 2, 40960, 6.3244494629
Res, 2, 81920, 6.5717297363
Res, 2, 163840, 5.7178652954
Res, 2, 384, 4.9580729167
Res, 2, 1152, 4.8408854167
Res, 2, 10240, 4.8866992187
Res, 2, 15360, 5.0175488281
Res, 2, 40960, 5.0140954590
Res, 2, 81920, 5.3408624268
Res, 2, 163840, 5.6713775635
Res, 2, 384, 5.0837239583
Res, 2, 1152, 4.9565104167
Res, 2, 10240, 4.9035546875
Res, 2, 15360, 5.0170768229
Res, 2, 40960, 5.0675146484
Res, 2, 81920, 5.3137030029
Res, 2, 163840, 7.8640472412
Res, 2, 384, 4.8453125000
Res, 2, 1152, 4.8430555556
Res, 2, 10240, 4.9082910156
Res, 2, 15360, 5.2102343750
Res, 2, 40960, 5.0975769043
Res, 2, 81920, 5.4875579834
Res, 2, 163840, 5.7293939209
Res, 2, 384, 4.8589843750
Res, 2, 1152, 4.8476996528
Res, 2, 10240, 4.9530517578
Res, 2, 15360, 5.0587044271
Res, 2, 40960, 5.0825268555
Res, 2, 81920, 5.5932611084
Res, 2, 163840, 5.8938073730
Res, 2, 384, 4.9578125000
Res, 2, 1152, 4.9581163194
Res, 2, 10240, 4.9672558594
Res, 2, 15360, 4.9666796875
Res, 2, 40960, 5.1278991699
Res, 2, 81920, 5.5016619873
Res, 2, 163840, 5.7227337646
Res, 2, 384, 5.2365885417
Res, 2, 1152, 4.9138454861
Res, 2, 10240, 5.0467968750
Res, 2, 15360, 5.0250065104
Res, 2, 40960, 5.0253503418
Res, 2, 81920, 5.3035089111
Res, 2, 163840, 5.7406781006
Res, 2, 384, 4.9669270833
Res, 2, 1152, 4.9560763889
Res, 2, 10240, 4.8723095703
Res, 2, 15360, 5.0345963542
Res, 2, 40960, 5.0722485352
Res, 2, 81920, 5.3545080566
Res, 2, 163840, 5.6998587036
Res, 2, 384, 5.0837239583
Res, 2, 1152, 4.9569878472
Res, 2, 10240, 4.9817041016
Res, 2, 15360, 5.0216178385
Res, 2, 40960, 5.0560070801
Res, 2, 81920, 5.3215173340
Res, 2, 163840, 5.7342065430
Res, 2, 384, 4.8457031250
Res, 2, 1152, 4.8436197917
Res, 2, 10240, 4.8952392578
Res, 2, 15360, 5.0235970052
Res, 2, 40960, 5.0606396484
Res, 2, 81920, 5.3634729004
Res, 2, 163840, 5.7589797974
